,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
SHEFC(USA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SHEF(a01,USA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SHEF(a02,USA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHEFC(ROW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SHEF(a01,ROW)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SHEF(a02,ROW)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROGY(USA),0.0,1.7448909650020612,1.6784056549268942,1.6157322134731849,1.5566589196163978,1.500983644309768,1.4485129025379617,1.3990610235033678,1.3524494104879352,1.308505886081397,1.2670641012628767,1.227963021328872,1.191046451927324,1.1561626245301966,1.123163821581226,1.0919060323270742,1.0622486559968358,1.0340542205549497,1.0071881347327718,0.9815184664587768,0.956915732160045,0.9332527147170353,0.9104042941178747,0.8882472900892715,0.8666603261808348,0.845523694954931,0.8247192450856708,0.8041302703039577,0.7836414112426731,0.7631588843381465,0.7426713570343892,0.722188912616069,0.7017226580665934,0.6812846554090441,0.6608878680434387,0.6405460996423997,0.6202739402100832,0.6000867249488095,0.5800004826109131,0.5600319000459066,0.5401982776778596,0.5205174976756126,0.501007990597202,0.4816887023129084,0.4625790670257359,0.44369897722729235,0.42506890343901205,0.40671298260299693,0.3886589919982697,0.3709352215679189,0.35357030855399074,0.34042981534365424,0.33250059343983196,0.32478146747527603,0.31726571019641625,0.30994686334910426,0.302818724403366,0.29587533405957345,0.2891109644830081,0.2825201082175397,0.2760974677329173,0.26983794556414153,0.26373663500388034,0.2577888113118405,0.2519899234083596,0.2463355860207841,0.24082157225448952,0.23544380656146302,0.2301983580825322,0.22508143433933014,0.22008937525512806,0.21521864748545028,0.21046583903793703,0.20582765416644122,0.20130090852156712,0.19688252454386657,0.19256952708450825,0.1883590392414547,0.18424827839793778,0.1802345524523048,0.1763152562287047,0.17248786805758698,0.16874994651785613,0.16509912733108933,0.16153312039957513,0.1580497069806981,0.15464673699050735,0.15132212642858178,0.14807385491962322,0.14489996336364186,0.141798551690826,0.1387677767143103,0.13580585007713353,0.1329110362872541,0.1300816508375675,0.12731605840545512,0.124612671128709,0.12196994695364083,0.11938638805226276,0.11686053930466755,0.11439098684375892,0.11197635665920558,0.1096153132585016,0.1073065583807633,0.10504882976274388,0.10284089995320045,0.10068157517449094,0.09856969422769879,0.09650412744129255,0.09448377565954758,0.09250756926990533,0.09057446726734497,0.08868345635424646,0.08683355007345739,0.08502378797421528,0.08325323480880087,0.08152097975824546,0.07982613568715635,0.0781678384247968,0.07654524607246316,0.07495753833552499,0.07340391587960227,0.07188359970864155,0.07039583056582899,0.06893986835490296,0.06751499158134777,0.06612049681324805,0.06475569816058169,0.06341992677214847,0.06211253034889097,0.06083287267519211,0.05958033316393596,0.058354306418031854
ROGY(ROW),0.0,1.7448909650020612,1.6784056549268942,1.6157322134731849,1.5566589196163978,1.500983644309768,1.4485129025379617,1.3990610235033678,1.3524494104879352,1.308505886081397,1.2670641012628767,1.227963021328872,1.191046451927324,1.1561626245301966,1.123163821581226,1.0919060323270742,1.0622486559968358,1.0340542205549497,1.0071881347327718,0.9815184664587768,0.956915732160045,0.9332527147170353,0.9104042941178747,0.8882472900892715,0.8666603261808348,0.845523694954931,0.8247192450856708,0.8041302703039577,0.7836414112426731,0.7631588843381465,0.7426713570343892,0.722188912616069,0.7017226580665934,0.6812846554090441,0.6608878680434387,0.6405460996423997,0.6202739402100832,0.6000867249488095,0.5800004826109131,0.5600319000459066,0.5401982776778596,0.5205174976756126,0.501007990597202,0.4816887023129084,0.4625790670257359,0.44369897722729235,0.42506890343901205,0.40671298260299693,0.3886589919982697,0.3709352215679189,0.35357030855399074,0.34042981534365424,0.33250059343983196,0.32478146747527603,0.31726571019641625,0.30994686334910426,0.302818724403366,0.29587533405957345,0.2891109644830081,0.2825201082175397,0.2760974677329173,0.26983794556414153,0.26373663500388034,0.2577888113118405,0.2519899234083596,0.2463355860207841,0.24082157225448952,0.23544380656146302,0.2301983580825322,0.22508143433933014,0.22008937525512806,0.21521864748545028,0.21046583903793703,0.20582765416644122,0.20130090852156712,0.19688252454386657,0.19256952708450825,0.1883590392414547,0.18424827839793778,0.1802345524523048,0.1763152562287047,0.17248786805758698,0.16874994651785613,0.16509912733108933,0.16153312039957513,0.1580497069806981,0.15464673699050735,0.15132212642858178,0.14807385491962322,0.14489996336364186,0.141798551690826,0.1387677767143103,0.13580585007713353,0.1329110362872541,0.1300816508375675,0.12731605840545512,0.124612671128709,0.12196994695364083,0.11938638805226276,0.11686053930466755,0.11439098684375892,0.11197635665920558,0.1096153132585016,0.1073065583807633,0.10504882976274388,0.10284089995320045,0.10068157517449094,0.09856969422769879,0.09650412744129255,0.09448377565954758,0.09250756926990533,0.09057446726734497,0.08868345635424646,0.08683355007345739,0.08502378797421528,0.08325323480880087,0.08152097975824546,0.07982613568715635,0.0781678384247968,0.07654524607246316,0.07495753833552499,0.07340391587960227,0.07188359970864155,0.07039583056582899,0.06893986835490296,0.06751499158134777,0.06612049681324805,0.06475569816058169,0.06341992677214847,0.06211253034889097,0.06083287267519211,0.05958033316393596,0.058354306418031854
"SHL(USA,a01)",0.0,1.7448909650020612,3.4232966199289554,5.03902883340214,6.595687753018538,8.096671397328306,9.545184299866268,10.944245323369636,12.29669473385757,13.605200619938968,14.872264721201844,16.100227742530716,17.29127419445804,18.447436818988237,19.570600640569463,20.662506672896537,21.724755328893373,22.758809549448323,23.765997684181094,24.74751615063987,25.704431882799916,26.63768459751695,27.548088891634826,28.436336181724098,29.302996507904933,30.148520202859864,30.973239447945534,31.777369718249492,32.561011129492165,33.32417001383031,34.0668413708647,34.78903028348077,35.49075294154736,36.17203759695641,36.832925464999846,37.473471564642246,38.09374550485233,38.69383222980114,39.27383271241205,39.83386461245796,40.37406289013582,40.89458038781143,41.39558837840863,41.87727708072154,42.33985614774728,42.78355512497457,43.20862402841358,43.61533701101658,44.00399600301485,44.37493122458277,44.72850153313676,45.06893134848041,45.401431941920244,45.72621340939552,46.043479119591936,46.35342598294104,46.656244707344406,46.95212004140398,47.24123100588699,47.52375111410453,47.799848581837445,48.069686527401586,48.33342316240547,48.59121197371731,48.84320189712567,49.08953748314645,49.33035905540094,49.5658028619624,49.796001220044936,50.021082654384266,50.241172029639394,50.456390677124844,50.66685651616278,50.87268417032922,51.07398507885079,51.270867603394656,51.463437130479164,51.65179616972062,51.83604444811856,52.01627900057086,52.192594256799566,52.36508212485715,52.53383207137501,52.6989311987061,52.860464319105674,53.01851402608637,53.17316076307688,53.32448288950546,53.472556744425084,53.617456707788726,53.75925525947955,53.89802303619386,54.033828886270996,54.16673992255825,54.29682157339582,54.42413763180127,54.54875030292998,54.67072024988362,54.790106637935885,54.90696717724055,55.02135816408431,55.13333452074352,55.24294983400202,55.35025639238278,55.455305222145526,55.55814612209873,55.65882769727322,55.757397391500916,55.85390151894221,55.948385294601756,56.04089286387166,56.13146733113901,56.22015078749325,56.30698433756671,56.392008125540926,56.47526136034973,56.55678234010797,56.63660847579513,56.714776314219925,56.79132156029239,56.86627909862791,56.939683014507516,57.01156661421616,57.081962444781986,57.15090231313689,57.21841730471824,57.284537801531485,57.34929349969207,57.412713426464215,57.474825956813106,57.5356588294883,57.595239162652234,57.653593469070266
"SHL(USA,a02)",0.0,1.7448909650020612,3.4232966199289554,5.03902883340214,6.595687753018538,8.096671397328306,9.545184299866268,10.944245323369636,12.29669473385757,13.605200619938968,14.872264721201844,16.100227742530716,17.29127419445804,18.447436818988237,19.570600640569463,20.662506672896537,21.724755328893373,22.758809549448323,23.765997684181094,24.74751615063987,25.704431882799916,26.63768459751695,27.548088891634826,28.436336181724098,29.302996507904933,30.148520202859864,30.973239447945534,31.777369718249492,32.561011129492165,33.32417001383031,34.0668413708647,34.78903028348077,35.49075294154736,36.17203759695641,36.832925464999846,37.473471564642246,38.09374550485233,38.69383222980114,39.27383271241205,39.83386461245796,40.37406289013582,40.89458038781143,41.39558837840863,41.87727708072154,42.33985614774728,42.78355512497457,43.20862402841358,43.61533701101658,44.00399600301485,44.37493122458277,44.72850153313676,45.06893134848041,45.401431941920244,45.72621340939552,46.043479119591936,46.35342598294104,46.656244707344406,46.95212004140398,47.24123100588699,47.52375111410453,47.799848581837445,48.069686527401586,48.33342316240547,48.59121197371731,48.84320189712567,49.08953748314645,49.33035905540094,49.5658028619624,49.796001220044936,50.021082654384266,50.241172029639394,50.456390677124844,50.66685651616278,50.87268417032922,51.07398507885079,51.270867603394656,51.463437130479164,51.65179616972062,51.83604444811856,52.01627900057086,52.192594256799566,52.36508212485715,52.53383207137501,52.6989311987061,52.860464319105674,53.01851402608637,53.17316076307688,53.32448288950546,53.472556744425084,53.617456707788726,53.75925525947955,53.89802303619386,54.033828886270996,54.16673992255825,54.29682157339582,54.42413763180127,54.54875030292998,54.67072024988362,54.790106637935885,54.90696717724055,55.02135816408431,55.13333452074352,55.24294983400202,55.35025639238278,55.455305222145526,55.55814612209873,55.65882769727322,55.757397391500916,55.85390151894221,55.948385294601756,56.04089286387166,56.13146733113901,56.22015078749325,56.30698433756671,56.392008125540926,56.47526136034973,56.55678234010797,56.63660847579513,56.714776314219925,56.79132156029239,56.86627909862791,56.939683014507516,57.01156661421616,57.081962444781986,57.15090231313689,57.21841730471824,57.284537801531485,57.34929349969207,57.412713426464215,57.474825956813106,57.5356588294883,57.595239162652234,57.653593469070266
