order,name,description,0,0,units,region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,ABUY(USA),new purchases of foreign assets,,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
2,ABUY(ROW),new purchases of foreign assets,,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
3,"ASSE(USA,USA)","assets in each currency, including own",,,usgdp,USA,0,0,0,0,0,0,0,0,0,0,0
4,"ASSE(USA,ROW)","assets in each currency, including own",,,usgdp,USA,0,0,0,0,0,0,0,0,0,0,0
5,"ASSE(ROW,USA)","assets in each currency, including own",,,usgdp,USA,0,0,0,0,0,0,0,0,0,0,0
6,"ASSE(ROW,ROW)","assets in each currency, including own",,,usgdp,USA,0,0,0,0,0,0,0,0,0,0,0
7,ASSU(USA),"assets held by region, in US$",,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
8,ASSU(ROW),"assets held by region, in US$",,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
9,"BCT(g01,USA,USA)",unit border tax adjustment,,,dollar,USA,0,0,0,0,0,0,0,0,0,0,0
10,"BCT(g01,USA,ROW)",unit border tax adjustment,,,dollar,USA,0,0,0,0,0,0,0,0,0,0,0
11,"BCT(g01,ROW,USA)",unit border tax adjustment,,,dollar,ROW,0,0,0,0,0,0,0,0,0,0,0
12,"BCT(g01,ROW,ROW)",unit border tax adjustment,,,dollar,ROW,0,0,0,0,0,0,0,0,0,0,0
13,"BCT(g02,USA,USA)",unit border tax adjustment,,,dollar,USA,0,0,0,0,0,0,0,0,0,0,0
14,"BCT(g02,USA,ROW)",unit border tax adjustment,,,dollar,USA,0,0,0,0,0,0,0,0,0,0,0
15,"BCT(g02,ROW,USA)",unit border tax adjustment,,,dollar,ROW,0,0,0,0,0,0,0,0,0,0,0
16,"BCT(g02,ROW,ROW)",unit border tax adjustment,,,dollar,ROW,0,0,0,0,0,0,0,0,0,0,0
17,BOND(USA),bonds,,,gdp,USA,70,76.77419355,80.24691358,80.35714286,80.57142857,80.21978022,81.28342246,81.53846154,83.00970874,84.57943925,88.34080717
18,BOND(ROW),bonds,,,gdp,ROW,70,76.77419355,80.24691358,80.35714286,80.57142857,80.21978022,81.28342246,81.53846154,83.00970874,84.57943925,88.34080717
19,"CAP(a01,USA)",capital stock,,,gdp,USA,34.12439658,33.65576077,33.7593417,34.15739484,34.14311892,34.47595149,34.77123514,34.66856658,34.42363869,34.65463128,34.67227229
20,"CAP(a01,ROW)",capital stock,,,gdp,ROW,34.12439658,33.65576077,33.7593417,34.15739484,34.14311892,34.47595149,34.77123514,34.66856658,34.42363869,34.65463128,34.67227229
21,"CAP(a02,USA)",capital stock,,,gdp,USA,261.5688689,262.0375047,261.9339237,261.5358706,261.5501465,261.2173139,260.9220303,261.0246989,261.2696267,261.0386342,261.0209931
22,"CAP(a02,ROW)",capital stock,,,gdp,ROW,261.5688689,262.0375047,261.9339237,261.5358706,261.5501465,261.2173139,260.9220303,261.0246989,261.2696267,261.0386342,261.0209931
23,CAPY(USA),raw invt capital stock,,,gdp,USA,10.25780442,10.74206693,11.46947522,11.77704654,12.29071678,12.38049239,12.23820954,12.41602184,12.65109698,12.50343897,12.44756491
24,CAPY(ROW),raw invt capital stock,,,gdp,ROW,10.25780442,10.74206693,11.46947522,11.77704654,12.29071678,12.38049239,12.23820954,12.41602184,12.65109698,12.50343897,12.44756491
25,CAPZ(USA),household capital stock,,,gdp,USA,107.7173127,108.8112144,108.2714596,107.6519234,107.520424,107.6089154,107.9606599,108.3673246,108.0748291,108.2360214,108.3287359
