USA,a01,a02,C,I,G,X,M
g01,536.7370107658353,776.9272487520475,390.2270137043744,2.6112890060710102e-11,0.0,291.2370907445795,-301.95130939903
g02,314.14521901587113,16647.783540285687,15076.459759379526,4271.46479756351,4479.540514272263,3555.2467037768556,-3697.3747108959074
L,108.3915623316997,12616.730701593591,773.3343386541951,213.5732398781768,0.0,0.0,0.0
K,357.0123222891211,8035.691144667191,1553.2035836031218,213.5732398781768,0.0,0.0,0.0
TAX,376.8909401653053,2570.1331880992893,0.0,0.0,0.0,0.0,0.0
ROW,a01,a02,C,I,G,X,M
g01,2619.9460185036437,4201.013812914703,1649.507707884041,3.120839259752862e-07,0.0,26.472190270625635,-15.757971616175176
g02,1968.8119347677432,71450.37886064817,33900.5577872678,10481.48708618291,23631.030472763116,355.1254522233019,-212.99744510425012
L,640.5936488077602,31921.005417533102,1777.5032747575917,524.0743543247497,0.0,0.0,0.0
K,2384.458939025282,27843.157471009723,3106.762332660257,524.0743543247497,0.0,0.0,0.0
TAX,867.3712171644952,6158.838586643092,0.0,0.0,0.0,0.0,0.0
