,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
SHEFC(USA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SHEF(a01,USA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SHEF(a02,USA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHEFC(ROW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SHEF(a01,ROW)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SHEF(a02,ROW)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROGY(USA),0.0,0.27903336363142384,0.25811836946723676,0.23968585890124994,0.2235819829150575,0.20965289249024455,0.1977447386083313,0.18770367225096063,0.17937584439963739,0.1726074060359808,0.1672445081415177,0.16313330169785667,0.16011993768655364,0.15805056708916032,0.1567713408873046,0.15612841006248068,0.15596792559630135,0.15613603847037227,0.15647889966618456,0.15684266016534076,0.15707347094946478,0.15701748300006058,0.1565208472987134,0.15542971482700985,0.15359023656651427,0.15084856349878972,0.14705084660542322,0.1420432368679725,0.1356718852679908,0.12778294278709712,0.11825042394019647,0.10719085918089455,0.09484564887155589,0.08145722535736244,0.06726802098337892,0.052520468094797046,0.03745699903666644,0.02232004615421168,0.007352041792453079,-0.007204581703435409,-0.021107391988328672,-0.034113956717085614,-0.04598184354465129,-0.05646862012580467,-0.06533185411548015,-0.07232911316854551,-0.07721812346666024,-0.07987154311367473,-0.0804795593722698,-0.07928673419383969,-0.07653762952976084,-0.07247680733143458,-0.06734882955021781,-0.061398258137511874,-0.05486965504474295,-0.04800758222323065,-0.04105660162436742,-0.034261275199598984,-0.027866164900224533,-0.02211583267771644,-0.017254840483404976,-0.01352775026869324,-0.011179123984972783,-0.010444584370483234,-0.011354152261400685,-0.013732246591857233,-0.017394347082811734,-0.022155933455236365,-0.02783248543013528,-0.034239482728425585,-0.041192405071166505,-0.04850673217925472,-0.05599794377373346,-0.06348151957551451,-0.0707729393056189,-0.07768768268501258,-0.08404122943466152,-0.08964905927555389,-0.09432665192867784,-0.09788948711495493,-0.10018513125251705,-0.10124852584474375,-0.10118243413090866,-0.10008971289745539,-0.09807321893091636,-0.095235809017713,-0.09168033994435554,-0.08750966849730979,-0.08282665146304158,-0.07773414562803893,-0.07233500777878987,-0.06673209470173802,-0.061028263183393605,-0.05532637001020024,-0.04972927196864596,-0.04433982584521878,-0.03926058279104527,-0.03455711208140144,-0.03022315868710379,-0.026244215424919837,-0.022605775111594895,-0.01929333056382987,-0.01629237459839228,-0.013588400032005232,-0.011166899681414044,-0.00901336636331962,-0.00711329289451168,-0.005452172091691132,-0.0040154967716032886,-0.002788759750971259,-0.0017574538465403577,-0.0009070718750558981,-0.00022310665326319423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROGY(ROW),0.0,0.9882746818722891,0.9805426476810496,0.9716014159252355,0.9615139928089635,0.950343384536342,0.9381525973114204,0.9250046373383602,0.910962510821193,0.8960892239640632,0.8804477829710162,0.864101194046194,0.8471124633936675,0.8295445972175184,0.8114606017218975,0.7929234831108243,0.7739962475884372,0.7547419013588588,0.7352234506261084,0.7155039015943174,0.6956462604676297,0.6757135334500752,0.6557687267457517,0.6358748465587922,0.6160948990932695,0.5964918905532599,0.5771288271429036,0.5580687150662733,0.5393745605274418,0.5211093697305316,0.5033285337437512,0.48602116374887316,0.4691422438371724,0.4526464760579607,0.43648856246042556,0.420623205093861,0.40500510600746154,0.3895889672505426,0.37432949087225964,0.3591813789219245,0.3440993334487672,0.32903805650202855,0.3139522501309244,0.29879661638476307,0.28352585731273905,0.2680946749641251,0.25245779537256396,0.23658733327118853,0.22050344417252532,0.2042345102427845,0.18780891364815844,0.17125503655483953,0.15460126112907346,0.13787596953702774,0.12110754394487344,0.10432436651888466,0.08755481942523957,0.07082728483009859,0.054170144899746475,0.03761178180028324,0.021180577697997194,0.004904914759062962,-0.01118682485032707,-0.027065137002679762,-0.04267471246104293,-0.05793443687902666,-0.07276207394890832,-0.08707538736303277,-0.10079214081368804,-0.11383009799315147,-0.12610702259383544,-0.13754067830792138,-0.14804882882783943,-0.15754923784579233,-0.16595966905414627,-0.17319788614520704,-0.17918165281127685,-0.18382873274467215,-0.18705688963769518,-0.18878388718266237,-0.18895078218885786,-0.18763465511955246,-0.18496182116054172,-0.18105866340754062,-0.17605156495628194,-0.17006690890249132,-0.1632310783419051,-0.1556704563702631,-0.14751142608326617,-0.13888037057665414,-0.1299036729461882,-0.1207077162875585,-0.11141888369652264,-0.10216355826879919,-0.09306812310010315,-0.08425896128620991,-0.07586209145713596,-0.06795943189748144,-0.06054725146047346,-0.05361197842641374,-0.047140041075600436,-0.04111786768832104,-0.03553188654483819,-0.03036852592543937,-0.025614214110426303,-0.021255379380093586,-0.01727845001473227,-0.013669854294587225,-0.010416020500002787,-0.007503376911220272,-0.004918351808537835,-0.0026473734722642916,-0.0006768701826587176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SHL(USA,a01)",0.0,0.27903336363142384,0.5371517330986606,0.7768375919999105,1.000419574914968,1.2100724674052126,1.4078172060135439,1.5955208782645045,1.774896722664142,1.9475041287001227,2.1147486368416404,2.277881938539497,2.4380018762260507,2.596052443315211,2.7528237842025156,2.9089521942649963,3.0649201198612976,3.22105615833167,3.3775350579978545,3.5343777181631952,3.69145118911266,3.8484686721127206,4.004989519411434,4.160419234238444,4.314009470804958,4.464858034303748,4.611908880909171,4.7539521177771435,4.889624003045134,5.0174069458322315,5.135657369772428,5.2428482289533225,5.337693877824878,5.419151103182241,5.48641912416562,5.538939592260417,5.576396591297083,5.598716637451295,5.606068679243748,5.598864097540313,5.577756705551984,5.543642748834898,5.497660905290247,5.441192285164442,5.375860431048962,5.303531317880417,5.226313194413756,5.146441651300082,5.065962091927812,4.986675357733972,4.910137728204211,4.837660920872777,4.770312091322559,4.708913833185047,4.654044178140304,4.6060365959170735,4.564979994292706,4.530718719093107,4.5028525541928826,4.480736721515166,4.463481881031761,4.449954130763068,4.438775006778095,4.428330422407612,4.416976270146211,4.403244023554354,4.385849676471542,4.363693743016306,4.335861257586171,4.301621774857745,4.2604293697865785,4.211922637607324,4.15592469383359,4.092443174258076,4.021670234952457,3.9439825522674443,3.859941322832783,3.770292263557229,3.675965611628551,3.578076124513596,3.477890993261079,3.3766424674163353,3.2754600332854267,3.1753703203879713,3.077297101457055,2.982061292439342,2.8903809524949864,2.8028712839976766,2.720044632534635,2.642310486906596,2.569975479127806,2.503243384426068,2.4422151212426746,2.3868887512324743,2.3371594792638284,2.2928196534186096,2.2535590706275643,2.219001958546163,2.188778799859059,2.1625345844341393,2.1399288093225444,2.1206354787587145,2.104343104160322,2.090754704128317,2.079587804446903,2.0705744380835833,2.0634611451890716,2.0580089730973805,2.0539934763257772,2.051204716574806,2.0494472627282656,2.0485401908532097,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465
"SHL(USA,a02)",0.0,0.27903336363142384,0.5371517330986606,0.7768375919999105,1.000419574914968,1.2100724674052126,1.4078172060135439,1.5955208782645045,1.774896722664142,1.9475041287001227,2.1147486368416404,2.277881938539497,2.4380018762260507,2.596052443315211,2.7528237842025156,2.9089521942649963,3.0649201198612976,3.22105615833167,3.3775350579978545,3.5343777181631952,3.69145118911266,3.8484686721127206,4.004989519411434,4.160419234238444,4.314009470804958,4.464858034303748,4.611908880909171,4.7539521177771435,4.889624003045134,5.0174069458322315,5.135657369772428,5.2428482289533225,5.337693877824878,5.419151103182241,5.48641912416562,5.538939592260417,5.576396591297083,5.598716637451295,5.606068679243748,5.598864097540313,5.577756705551984,5.543642748834898,5.497660905290247,5.441192285164442,5.375860431048962,5.303531317880417,5.226313194413756,5.146441651300082,5.065962091927812,4.986675357733972,4.910137728204211,4.837660920872777,4.770312091322559,4.708913833185047,4.654044178140304,4.6060365959170735,4.564979994292706,4.530718719093107,4.5028525541928826,4.480736721515166,4.463481881031761,4.449954130763068,4.438775006778095,4.428330422407612,4.416976270146211,4.403244023554354,4.385849676471542,4.363693743016306,4.335861257586171,4.301621774857745,4.2604293697865785,4.211922637607324,4.15592469383359,4.092443174258076,4.021670234952457,3.9439825522674443,3.859941322832783,3.770292263557229,3.675965611628551,3.578076124513596,3.477890993261079,3.3766424674163353,3.2754600332854267,3.1753703203879713,3.077297101457055,2.982061292439342,2.8903809524949864,2.8028712839976766,2.720044632534635,2.642310486906596,2.569975479127806,2.503243384426068,2.4422151212426746,2.3868887512324743,2.3371594792638284,2.2928196534186096,2.2535590706275643,2.219001958546163,2.188778799859059,2.1625345844341393,2.1399288093225444,2.1206354787587145,2.104343104160322,2.090754704128317,2.079587804446903,2.0705744380835833,2.0634611451890716,2.0580089730973805,2.0539934763257772,2.051204716574806,2.0494472627282656,2.0485401908532097,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465,2.0483170841999465
