order,name,description,vector,type,units,region,2017,2018,2019,2020,2021,2022,2023
1,ABUY(USA),new purchases of foreign assets,end,z1l,gdp,USA,0,0,0,0,0,0,0
2,ABUY(ROW),new purchases of foreign assets,end,z1l,gdp,ROW,0,0,0,0,0,0,0
3,"ASSE(USA,USA)","assets in each currency, including own",sta,x1l,usgdp,USA,0,0,0,0,0,0,0
4,"ASSE(USA,ROW)","assets in each currency, including own",sta,x1l,usgdp,ROW,0,0,0,0,0,0,0
5,"ASSE(ROW,USA)","assets in each currency, including own",sta,x1l,usgdp,USA,0,0,0,0,0,0,0
6,"ASSE(ROW,ROW)","assets in each currency, including own",sta,x1l,usgdp,ROW,0,0,0,0,0,0,0
7,ASSU(USA),"assets held by region, in US$",end,z1l,gdp,USA,0,0,0,0,0,0,0
8,ASSU(ROW),"assets held by region, in US$",end,z1l,gdp,ROW,0,0,0,0,0,0,0
9,"BCT(g01,USA,USA)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0,0,0,0
10,"BCT(g01,USA,ROW)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0,0,0,0
11,"BCT(g01,ROW,USA)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0,0,0,0
12,"BCT(g01,ROW,ROW)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0,0,0,0
13,"BCT(g02,USA,USA)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0,0,0,0
14,"BCT(g02,USA,ROW)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0,0,0,0
15,"BCT(g02,ROW,USA)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0,0,0,0
16,"BCT(g02,ROW,ROW)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0,0,0,0
17,BOND(USA),bonds,sta,x1l,gdp,USA,104.3,105,106.6,126.3,123.8,121.9,122.3
18,BOND(ROW),bonds,sta,x1l,gdp,ROW,104.3,105,106.6,126.3,123.8,121.9,122.3
19,"CAP(a01,USA)",capital stock,sta,x1l,gdp,USA,10.50236869,10.46193815,10.49155393,10.46437574,10.39788841,10.37069613,10.52541398
20,"CAP(a01,ROW)",capital stock,sta,x1l,gdp,ROW,10.50236869,10.46193815,10.49155393,10.46437574,10.39788841,10.37069613,10.52541398
21,"CAP(a02,USA)",capital stock,sta,x1l,gdp,USA,233.47739625,233.42981565,233.40687188,233.4658364,233.49435088,233.42530744,233.34621312
22,"CAP(a02,ROW)",capital stock,sta,x1l,gdp,ROW,233.47739625,233.42981565,233.40687188,233.4658364,233.49435088,233.42530744,233.34621312
23,CAPY(USA),capital stock of raw capital sector,sta,x1l,gdp,USA,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636
24,CAPY(ROW),capital stock of raw capital sector,sta,x1l,gdp,ROW,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636
25,CAPZ(USA),household capital stock,sta,x1l,gdp,USA,84.43717475,82.89553446,82.46223654,81.8884511,83.49696067,82.64163026,83.09996067
26,CAPZ(ROW),household capital stock,sta,x1l,gdp,ROW,84.43717475,82.89553446,82.46223654,81.8884511,83.49696067,82.64163026,83.09996067
27,CNPE(USA),household demand for energy,end,z1l,gdp,USA,1.45666663,1.45051392,1.44370351,1.42473605,1.45053668,1.455115,1.45558652
28,CNPE(ROW),household demand for energy,end,z1l,gdp,ROW,1.45666663,1.45051392,1.44370351,1.42473605,1.45053668,1.455115,1.45558652
29,CNPK(USA),household capital services,end,z1l,gdp,USA,5.79790674,5.77341735,5.7463102,5.67081484,5.77350794,5.79173083,5.79360761
30,CNPK(ROW),household capital services,end,z1l,gdp,ROW,5.79790674,5.77341735,5.7463102,5.67081484,5.77350794,5.79173083,5.79360761
31,CNPL(USA),household demand for labor,end,z1l,gdp,USA,2.88675639,2.87456322,2.86106667,2.8234778,2.87460832,2.88368143,2.88461587
32,CNPL(ROW),household demand for labor,end,z1l,gdp,ROW,2.88675639,2.87456322,2.86106667,2.8234778,2.87460832,2.88368143,2.88461587
33,CNPO(USA),household demand for material,end,z1l,gdp,USA,56.27846123,56.04075042,55.77762982,55.04482002,56.04162978,56.21851358,56.23673093
34,CNPO(ROW),household demand for material,end,z1l,gdp,ROW,56.27846123,56.04075042,55.77762982,55.04482002,56.04162978,56.21851358,56.23673093
35,"CON(g01,USA)",household demand for goods,end,z1l,gdp,USA,1.45666663,1.45051392,1.44370351,1.42473605,1.45053668,1.455115,1.45558652
