order,name,description,vector,type,units,region,2017,2018,2019,2020,2021,2022,2023,2024
1,ABUY(USA),new purchases of foreign assets,end,z1l,gdp,USA,0,0,0,0,0,0,0,0
2,ABUY(ROW),new purchases of foreign assets,end,z1l,gdp,ROW,0,0,0,0,0,0,0,0
3,"ASSE(USA,USA)","assets in each currency, including own",sta,x1l,usgdp,USA,0,0,0,0,0,0,0,0
4,"ASSE(USA,ROW)","assets in each currency, including own",sta,x1l,usgdp,ROW,0,0,0,0,0,0,0,0
5,"ASSE(ROW,USA)","assets in each currency, including own",sta,x1l,usgdp,USA,0,0,0,0,0,0,0,0
6,"ASSE(ROW,ROW)","assets in each currency, including own",sta,x1l,usgdp,ROW,0,0,0,0,0,0,0,0
7,ASSU(USA),"assets held by region, in US$",end,z1l,gdp,USA,0,0,0,0,0,0,0,0
8,ASSU(ROW),"assets held by region, in US$",end,z1l,gdp,ROW,0,0,0,0,0,0,0,0
9,"BCT(g01,USA,USA)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0,0,0,0,0
10,"BCT(g01,USA,ROW)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0,0,0,0,0
11,"BCT(g01,ROW,USA)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0,0,0,0,0
12,"BCT(g01,ROW,ROW)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0,0,0,0,0
13,"BCT(g02,USA,USA)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0,0,0,0,0
14,"BCT(g02,USA,ROW)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0,0,0,0,0
15,"BCT(g02,ROW,USA)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0,0,0,0,0
16,"BCT(g02,ROW,ROW)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0,0,0,0,0
17,BOND(USA),bonds,sta,x1l,gdp,USA,75,75,76,95,89,88,89,94
18,BOND(ROW),bonds,sta,x1l,gdp,ROW,75,75,76,95,89,88,89,94
19,"CAP(a01,USA)",capital stock,sta,x1l,gdp,USA,25.34692251,25.31541595,25.20269726,24.67984232,24.85999349,25.08876721,25.06272537,25.01414708
20,"CAP(a01,ROW)",capital stock,sta,x1l,gdp,ROW,25.34692251,25.31541595,25.20269726,24.67984232,24.85999349,25.08876721,25.06272537,25.01414708
21,"CAP(a02,USA)",capital stock,sta,x1l,gdp,USA,304.1870469,304.08661602,304.19821949,304.76003185,304.5208347,304.1875875,304.25346649,304.34789643
22,"CAP(a02,ROW)",capital stock,sta,x1l,gdp,ROW,304.1870469,304.08661602,304.19821949,304.76003185,304.5208347,304.1875875,304.25346649,304.34789643
