order,name,description,vector,type,units,region,2021,2022,2023,2024
1,ABUY(USA),new purchases of foreign assets,end,z1l,gdp,USA,0,0,0,0
2,ABUY(ROW),new purchases of foreign assets,end,z1l,gdp,ROW,0,0,0,0
3,"ASSE(USA,USA)","assets in each currency, including own",sta,x1l,usgdp,USA,0,0,0,0
4,"ASSE(USA,ROW)","assets in each currency, including own",sta,x1l,usgdp,ROW,0,0,0,0
5,"ASSE(ROW,USA)","assets in each currency, including own",sta,x1l,usgdp,USA,0,0,0,0
6,"ASSE(ROW,ROW)","assets in each currency, including own",sta,x1l,usgdp,ROW,0,0,0,0
7,ASSU(USA),"assets held by region, in US$",end,z1l,gdp,USA,0,0,0,0
8,ASSU(ROW),"assets held by region, in US$",end,z1l,gdp,ROW,0,0,0,0
9,"BCT(g01,USA,USA)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0
10,"BCT(g01,USA,ROW)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0
11,"BCT(g01,ROW,USA)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0
12,"BCT(g01,ROW,ROW)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0
13,"BCT(g02,USA,USA)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0
14,"BCT(g02,USA,ROW)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0
15,"BCT(g02,ROW,USA)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0
16,"BCT(g02,ROW,ROW)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0
17,BOND(USA),bonds,sta,x1l,gdp,USA,86.65914842,85.60038932,87.09128402,91.81360198
18,BOND(ROW),bonds,sta,x1l,gdp,ROW,86.65914842,85.60038932,87.09128402,91.81360198
19,"CAP(a01,USA)",capital stock,sta,x1l,gdp,USA,17.41848082,17.55878937,17.65794765,17.58471616
20,"CAP(a01,ROW)",capital stock,sta,x1l,gdp,ROW,17.41848082,17.55878937,17.65794765,17.58471616
21,"CAP(a02,USA)",capital stock,sta,x1l,gdp,USA,213.36671479,212.89038737,214.36536978,213.95651655
22,"CAP(a02,ROW)",capital stock,sta,x1l,gdp,ROW,213.36671479,212.89038737,214.36536978,213.95651655
23,CAPY(USA),capital stock of raw capital sector,sta,x1l,gdp,USA,5.73378122,5.80288052,5.80196976,5.7569044
24,CAPY(ROW),capital stock of raw capital sector,sta,x1l,gdp,ROW,5.73378122,5.80288052,5.80196976,5.7569044
25,CAPZ(USA),household capital stock,sta,x1l,gdp,USA,197.74,203.51,201.15,199.2
26,CAPZ(ROW),household capital stock,sta,x1l,gdp,ROW,197.74,203.51,201.15,199.2
27,CNPE(USA),household demand for energy,end,z1l,gdp,USA,1.80479145,1.8123419,1.809233,1.8108124
28,CNPE(ROW),household demand for energy,end,z1l,gdp,ROW,1.80479145,1.8123419,1.809233,1.8108124
29,CNPK(USA),household capital services,end,z1l,gdp,USA,5.76671972,5.79084514,5.7809115,5.78595804
30,CNPK(ROW),household capital services,end,z1l,gdp,ROW,5.76671972,5.79084514,5.7809115,5.78595804
31,CNPL(USA),household demand for labor,end,z1l,gdp,USA,2.87920562,2.89125096,2.88629129,2.88881092
32,CNPL(ROW),household demand for labor,end,z1l,gdp,ROW,2.87920562,2.89125096,2.88629129,2.88881092
33,CNPO(USA),household demand for material,end,z1l,gdp,USA,55.77932102,56.01267721,55.91659282,55.96540606
34,CNPO(ROW),household demand for material,end,z1l,gdp,ROW,55.77932102,56.01267721,55.91659282,55.96540606
35,"CON(g01,USA)",household demand for goods,end,z1l,gdp,USA,1.80479145,1.8123419,1.809233,1.8108124
36,"CON(g01,ROW)",household demand for goods,end,z1l,gdp,ROW,1.80479145,1.8123419,1.809233,1.8108124
37,"CON(g02,USA)",household demand for goods,end,z1l,gdp,USA,55.77932102,56.01267721,55.91659282,55.96540606
38,"CON(g02,ROW)",household demand for goods,end,z1l,gdp,ROW,55.77932102,56.01267721,55.91659282,55.96540606
39,CONP(USA),national accounts consumption,end,z1l,gdp,USA,66.23003781,66.50711521,66.39302862,66.45098743
40,CONP(ROW),national accounts consumption,end,z1l,gdp,ROW,66.23003781,66.50711521,66.39302862,66.45098743
41,CURN(USA),domestic currency current account using nominal interest payments,end,z1l,gdp,USA,0,0,0,0
42,CURN(ROW),domestic currency current account using nominal interest payments,end,z1l,gdp,ROW,0,0,0,0
43,CURR(USA),USD current account using real interest payments,end,z1l,gdp,USA,0,0,0,0
44,CURR(ROW),USD current account using real interest payments,end,z1l,gdp,ROW,0,0,0,0
45,DEFI(USA),fiscal deficit (real interest rates),end,z1l,gdp,USA,5.64157531,-2.29362604,4.51534768,5.47895192
46,DEFI(ROW),fiscal deficit (real interest rates),end,z1l,gdp,ROW,5.64157531,-2.29362604,4.51534768,5.47895192
47,DEFN(USA),fiscal deficit (nominal interest rates),end,z1l,gdp,USA,11.5958823,3.58793413,7.67972291,7.73027485
48,DEFN(ROW),fiscal deficit (nominal interest rates),end,z1l,gdp,ROW,11.5958823,3.58793413,7.67972291,7.73027485
49,DEFX(USA),fiscal deficit shocks (real interest rates),exo,exo,gdp,USA,5.64157531,-2.29362604,4.51534768,5.47895192
50,DEFX(ROW),fiscal deficit shocks (real interest rates),exo,exo,gdp,ROW,5.64157531,-2.29362604,4.51534768,5.47895192
51,"EN(a01,g01,USA)",sector demand for energy goods,end,z1l,gdp,USA,2.17911238,2.19666547,2.20907052,2.199909
52,"EN(a01,g01,ROW)",sector demand for energy goods,end,z1l,gdp,ROW,2.17911238,2.19666547,2.20907052,2.199909
53,"EN(a02,g01,USA)",sector demand for energy goods,end,z1l,gdp,USA,3.74880119,3.74043223,3.76634731,3.75916386
54,"EN(a02,g01,ROW)",sector demand for energy goods,end,z1l,gdp,ROW,3.74880119,3.74043223,3.76634731,3.75916386
55,"ENT(a01,USA)",sector demand for energy,end,z1l,gdp,USA,2.17911238,2.19666547,2.20907052,2.199909
56,"ENT(a01,ROW)",sector demand for energy,end,z1l,gdp,ROW,2.17911238,2.19666547,2.20907052,2.199909
57,"ENT(a02,USA)",sector demand for energy,end,z1l,gdp,USA,3.74880119,3.74043223,3.76634731,3.75916386
58,"ENT(a02,ROW)",sector demand for energy,end,z1l,gdp,ROW,3.74880119,3.74043223,3.76634731,3.75916386
59,EPRC(USA),expected consumer price inflation rate,end,z1l,pct,USA,6.33602101,3.72835299,2.58455568,2.58455568
60,EPRC(ROW),expected consumer price inflation rate,end,z1l,pct,ROW,6.33602101,3.72835299,2.58455568,2.58455568
61,EXCH(USA),exchange rate - US$ per unit of region currency,stl,x1l,idx,USA,100,100,100,100
62,EXCH(ROW),exchange rate - US$ per unit of region currency,stl,x1l,idx,ROW,100,100,100,100
63,EXCL(USA),exchange rate - US$ per unit of region currency - lagged,sta,x1l,idx,USA,100,100,100,100
