USA,a01,a02,C,I,G,X,M
g01,627.84085191,1070.43513912,514.20286596,0.00000000,0.00000000,270.29976876,-234.28737280
g02,524.94191003,17404.40818926,15892.07815209,4547.07320554,4728.16318907,3418.53185268,-3633.03661964
L,216.61448402,13364.51294881,820.31405090,227.35366028,0.00000000,0.00000000,0.00000000
K,691.93725528,8400.03541156,1642.99526738,227.35366028,0.00000000,0.00000000,0.00000000
TAX,187.15675171,2642.76819028,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
ROW,a01,a02,C,I,G,X,M
g01,627.84085191,1070.43513912,514.20286596,0.00000000,0.00000000,270.29976876,-234.28737280
g02,524.94191003,17404.40818926,15892.07815209,4547.07320554,4728.16318907,3418.53185268,-3633.03661964
L,216.61448402,13364.51294881,820.31405090,227.35366028,0.00000000,0.00000000,0.00000000
K,691.93725528,8400.03541156,1642.99526738,227.35366028,0.00000000,0.00000000,0.00000000
TAX,187.15675171,2642.76819028,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
